unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_112,2023-03-07,2023-02-10,0.9423111,0.96219367,0.79375
hotel_112,2023-03-08,2023-02-10,0.9281376,0.9555312,0.975
hotel_112,2023-03-09,2023-02-10,0.9219808,0.94337857,0.7875
hotel_112,2023-03-10,2023-02-10,0.892218,0.9095155,0.925
hotel_112,2023-03-11,2023-03-10,0.89096314,0.8955931,0.95
hotel_112,2023-03-12,2023-03-10,0.87854826,0.87256145,0.9875
hotel_112,2023-03-13,2023-03-10,0.916645,0.9024518,0.96875
hotel_112,2023-03-14,2023-03-10,0.91143876,0.91422987,1.01875
hotel_112,2023-03-15,2023-03-10,0.88465756,0.90549946,1.0
hotel_112,2023-03-16,2023-03-10,0.86962044,0.8887514,0.975
hotel_112,2023-03-17,2023-03-10,0.8995835,0.8887332,0.975
hotel_112,2023-03-18,2023-03-10,0.85219735,0.8557386,0.91875
hotel_112,2023-03-19,2023-03-10,0.86463344,0.85128367,0.99375
hotel_112,2023-03-20,2023-03-10,0.88377416,0.8883496,0.89375
