unique_id,ds,cutoff,y,LGBMRegressor
hotel_35,2023-03-24,2023-03-10,0.828125,0.8357677272791186
hotel_35,2023-03-25,2023-03-10,0.84375,0.8461397160751523
hotel_35,2023-03-26,2023-03-10,0.74609375,0.6223990904605978
hotel_35,2023-03-27,2023-03-10,0.779296875,0.7093104085978982
hotel_35,2023-03-28,2023-03-10,0.83203125,0.7365091892353418
hotel_35,2023-03-29,2023-03-10,0.822265625,0.7855324708168286
hotel_35,2023-03-30,2023-03-10,0.79296875,0.8005316955671005
hotel_35,2023-03-31,2023-03-10,0.837890625,0.8507725858687426
hotel_35,2023-04-01,2023-03-10,0.82421875,0.8550925100284437
hotel_35,2023-04-02,2023-03-10,0.74609375,0.6321599936255572
hotel_35,2023-04-03,2023-03-10,0.634765625,0.6873777826906958
hotel_35,2023-04-04,2023-03-10,0.5078125,0.7276299689179819
hotel_35,2023-04-05,2023-03-10,0.474609375,0.777288567332211
hotel_35,2023-04-06,2023-03-10,0.5078125,0.7964059001600933
hotel_35,2023-04-07,2023-03-10,0.48828125,0.8471628726787831
hotel_42,2023-03-11,2023-03-10,0.8421052631578947,0.5372303478570737
hotel_42,2023-03-12,2023-03-10,0.20647773279352227,0.5329508895619617
hotel_42,2023-03-13,2023-03-10,0.24696356275303644,0.5965699963902518
hotel_42,2023-03-14,2023-03-10,0.4534412955465587,0.7169029097419946
hotel_42,2023-03-15,2023-03-10,0.3805668016194332,0.8273367749007037
hotel_42,2023-03-16,2023-03-10,0.8421052631578947,0.8166712860227727
hotel_42,2023-03-17,2023-03-10,0.9959514170040485,0.7794854120126656
hotel_42,2023-03-18,2023-03-10,0.9352226720647774,0.8568423392353977
hotel_42,2023-03-19,2023-03-10,0.47368421052631576,0.6087105831522825
hotel_42,2023-03-20,2023-03-10,0.5344129554655871,0.6611638866262988
hotel_42,2023-03-21,2023-03-10,0.5587044534412956,0.7038425843731321
hotel_42,2023-03-22,2023-03-10,0.5141700404858299,0.7904860534020653
hotel_42,2023-03-23,2023-03-10,0.43724696356275305,0.7923499485611264
hotel_42,2023-03-24,2023-03-10,0.6963562753036437,0.7735368068936562
hotel_42,2023-03-25,2023-03-10,0.9919028340080972,0.7918376526992832
hotel_42,2023-03-26,2023-03-10,0.9676113360323887,0.6052057819027955
hotel_42,2023-03-27,2023-03-10,1.0040485829959513,0.7002545714004116
hotel_42,2023-03-28,2023-03-10,0.8987854251012146,0.7206163287995606
hotel_42,2023-03-29,2023-03-10,0.562753036437247,0.7709278189749257
hotel_42,2023-03-30,2023-03-10,0.4939271255060729,0.8008139386590459
hotel_42,2023-03-31,2023-03-10,0.3643724696356275,0.8482813083716138
hotel_42,2023-04-01,2023-03-10,1.008097165991903,0.8787023753867088
hotel_42,2023-04-02,2023-03-10,0.31983805668016196,0.6462962478666858
hotel_42,2023-04-03,2023-03-10,0.5020242914979757,0.6924971962957147
hotel_42,2023-04-04,2023-03-10,0.9595141700404858,0.6512277888250662
hotel_42,2023-04-05,2023-03-10,0.728744939271255,0.6520321665132978
hotel_42,2023-04-06,2023-03-10,0.6882591093117408,0.6913312664819891
hotel_42,2023-04-07,2023-03-10,0.5060728744939271,0.7429158227411441
hotel_49,2023-03-11,2023-03-10,0.8253275109170306,0.8176436797476297
hotel_49,2023-03-12,2023-03-10,0.8165938864628821,0.7421177410585981
hotel_49,2023-03-13,2023-03-10,0.8253275109170306,0.7961745162071471
hotel_49,2023-03-14,2023-03-10,0.8296943231441049,0.8284488610835518
hotel_49,2023-03-15,2023-03-10,0.8296943231441049,0.8573085698972357
